Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
514,Peyton Watson,SF,21,DEN,56,4,1021,146,308,.474,40,116,.345,106,192,.552,.539,54,79,.684,37,127,164,57,31,53,42,98,386,watsope01
515,Victor Wembanyama,C,20,SAS,52,52,1481,394,844,.467,82,258,.318,312,586,.532,.515,204,251,.813,113,412,525,171,67,171,178,110,1074,wembavi01
516,Blake Wesley,SG,20,SAS,37,1,488,60,119,.504,4,28,.143,56,91,.615,.521,25,42,.595,11,34,45,98,19,4,29,55,149,weslebl01
517,Russell Westbrook,PG,35,LAC,56,10,1285,252,557,.452,37,136,.272,215,421,.511,.486,86,129,.667,79,213,292,252,62,21,117,97,627,westbru01
518,Coby White,PG,23,CHI,57,57,2068,396,866,.457,163,413,.395,233,453,.514,.551,158,190,.832,30,239,269,296,41,13,125,134,1113,whiteco01
519,Derrick White,SG,29,BOS,53,53,1711,290,619,.468,144,358,.402,146,261,.559,.585,111,124,.895,34,171,205,252,55,62,85,112,835,whitede01
520,Cam Whitmore,SF,19,HOU,31,1,538,136,286,.476,53,138,.384,83,148,.561,.568,49,74,.662,20,92,112,14,19,9,29,42,374,whitmca01
521,Aaron Wiggins,SG,25,OKC,54,0,775,130,224,.580,44,85,.518,86,139,.619,.679,31,40,.775,38,88,126,49,28,7,33,64,335,wiggiaa01
522,Andrew Wiggins,SF,28,GSW,51,40,1388,249,547,.455,59,168,.351,190,379,.501,.509,93,128,.727,79,139,218,88,29,27,63,113,650,wiggian01
523,Lindell Wigginton,PG,25,MIL,3,0,8,2,5,.400,0,2,.000,2,3,.667,.400,2,2,1.000,0,0,0,0,0,0,1,1,6,wiggili01
524,Alondes Williams,SG,24,MIA,1,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,1,0,0,willial06
525,Brandon Williams,PG,24,DAL,12,0,59,8,22,.364,2,6,.333,6,16,.375,.409,6,11,.545,3,4,7,12,1,1,3,2,24,willibr03
526,Grant Williams,PF,25,TOT,53,33,1410,161,381,.423,93,246,.378,68,135,.504,.545,57,74,.770,52,144,196,91,27,29,62,150,472,willigr01
526,Grant Williams,PF,25,DAL,47,33,1242,131,317,.413,79,210,.376,52,107,.486,.538,41,55,.745,46,123,169,81,24,27,53,137,382,willigr01
526,Grant Williams,PF,25,CHO,6,0,168,30,64,.469,14,36,.389,16,28,.571,.578,16,19,.842,6,21,27,10,3,2,9,13,90,willigr01
527,Jalen Williams,PF,22,OKC,51,51,1630,381,704,.541,77,171,.450,304,533,.570,.596,133,166,.801,26,179,205,237,50,26,87,137,972,willija06
528,Jaylin Williams,C,21,OKC,48,0,597,61,157,.389,36,101,.356,25,56,.446,.503,22,27,.815,26,130,156,65,19,17,19,67,180,willija07
529,Jeenathan Williams,SG,24,HOU,11,0,76,14,30,.467,1,3,.333,13,27,.481,.483,4,7,.571,8,2,10,6,2,0,2,9,33,willije02
530,Kenrich Williams,PF,29,OKC,46,1,676,83,178,.466,39,95,.411,44,83,.530,.576,3,10,.300,34,94,128,56,25,6,17,66,208,willike04
531,Mark Williams,C,22,CHO,19,19,508,98,151,.649,0,0,,98,151,.649,.649,46,64,.719,76,108,184,22,16,20,17,50,242,willima07
532,Patrick Williams,PF,22,CHI,43,30,1174,159,359,.443,59,148,.399,100,211,.474,.525,52,66,.788,46,120,166,66,40,33,57,87,429,willipa01
533,Robert Williams,C,26,POR,6,0,119,17,26,.654,0,0,,17,26,.654,.654,7,9,.778,11,27,38,5,7,7,7,17,41,williro04
534,Vince Williams Jr.,SG,23,MEM,45,26,1207,139,310,.448,67,183,.366,72,127,.567,.556,88,108,.815,54,200,254,136,40,26,66,114,433,willivi01
535,Ziaire Williams,SF,22,MEM,47,11,917,135,336,.402,54,170,.318,81,166,.488,.482,56,69,.812,32,127,159,71,33,9,59,80,380,willizi02
536,Zion Williamson,PF,23,NOP,47,47,1447,417,719,.580,4,11,.364,413,708,.583,.583,217,316,.687,83,179,262,240,44,24,118,108,1055,willizi01
537,Jalen Wilson,PF,23,BRK,18,1,238,31,62,.500,11,22,.500,20,40,.500,.589,17,19,.895,19,23,42,21,5,1,4,19,90,wilsoja03
538,Dylan Windler,SF,27,TOT,11,0,35,5,11,.455,5,10,.500,0,1,.000,.682,0,0,,0,4,4,7,0,0,0,3,15,windldy01
538,Dylan Windler,SF,27,NYK,3,0,7,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,1,0,0,0,1,3,windldy01
538,Dylan Windler,SF,27,LAL,8,0,28,4,9,.444,4,8,.500,0,1,.000,.667,0,0,,0,3,3,6,0,0,0,2,12,windldy01
539,James Wiseman,C,22,DET,37,0,528,95,143,.664,0,2,.000,95,141,.674,.664,31,50,.620,55,94,149,26,5,24,31,76,221,wisemja01
540,Christian Wood,PF,28,LAL,50,1,872,123,264,.466,35,114,.307,88,150,.587,.532,66,94,.702,39,215,254,49,16,33,50,72,347,woodch01
541,Delon Wright,PG,31,WAS,33,0,456,48,122,.393,14,38,.368,34,84,.405,.451,24,29,.828,13,46,59,82,35,8,11,22,134,wrighde01
542,Thaddeus Young,PF,35,TOT,24,6,369,55,90,.611,1,6,.167,54,84,.643,.617,5,12,.417,35,48,83,50,19,3,12,42,116,youngth01
542,Thaddeus Young,PF,35,TOR,23,6,350,54,87,.621,1,6,.167,53,81,.654,.626,5,12,.417,29,46,75,50,18,3,11,38,114,youngth01
542,Thaddeus Young,PF,35,PHO,1,0,19,1,3,.333,0,0,,1,3,.333,.333,0,0,,6,2,8,0,1,0,1,4,2,youngth01
543,Trae Young,PG,25,ATL,51,51,1862,418,982,.426,169,456,.371,249,526,.473,.512,339,396,.856,22,118,140,553,70,11,220,106,1344,youngtr01
544,Omer Yurtseven,C,25,UTA,31,6,274,41,84,.488,4,16,.250,37,68,.544,.512,7,13,.538,37,73,110,13,4,11,24,36,93,yurtsom01
545,Cody Zeller,C,31,NOP,37,0,291,22,54,.407,1,3,.333,21,51,.412,.417,21,35,.600,39,58,97,35,8,4,13,39,66,zelleco01
546,Ivica Zubac,C,26,LAC,46,46,1229,235,359,.655,0,0,,235,359,.655,.655,80,120,.667,140,295,435,60,11,58,54,130,550,zubaciv01
